2003	309	22	2.7	-3.8	-2.3	94932	3.9	524	-17
2003	309	23	3.9	-3.1	-2.1	96834	3.6	504	-22
2003	310	0	3.7	-2.1	-1.9	101909	3.9	500	-24
2003	310	4	4	-1.2	-2.2	68875	3.2	484	-25
2003	310	15	3.6	-0.4	-2.7	49523	2.8	453	-5
2003	310	16	3.8	-2.5	-0.5	63205	2.7	455	-10
2003	310	19	0.9	-2.2	-4	65368	2.6	480	-1
2003	310	20	5.3	0	-6.8	283157	7.2	539	5
2003	310	21	8.1	4	0.2	479822	7.3	563	-9
2003	310	22	6.5	-1.4	-5.8	454389	6.9	572	-21
2003	310	23	6.6	1.4	-1.8	473133	7.4	568	-18
2003	311	0	4.9	1.8	0.7	476735	7.8	568	-16
2003	311	1	5	3.2	1.5	476672	6.8	556	-20
2003	311	2	-0.7	-5.4	1	426633	6.4	565	-15
2003	311	3	-0.3	-5.4	-0.7	428403	5.7	558	-10
2003	311	4	3.6	-1.8	-0.9	417745	5.3	551	-14
2003	311	6	-2.5	-0.7	-0.4	388858	4.8	553	-14
2003	311	7	-4.2	-1.6	-0.1	398734	4.7	551	-12
2003	311	9	0.9	-2.6	1.5	336760	4.6	550	-15
2003	311	10	0.4	-3.6	1.2	350045	4.7	534	-13
2003	311	12	-2.1	-4.7	-1.1	280852	4.8	519	-8
2003	311	13	-3.7	-4.4	-0.6	248309	5.3	505	-8
2003	311	14	-4.7	-4.1	-1.2	235343	5.1	509	-7
2003	311	15	-5	-0.9	-1.5	160737	6.3	506	-7
2003	311	16	-4.9	-1.6	0.6	140272	7	493	-6
2003	311	17	-3.4	-3	1.1	128637	7.5	485	-4
2003	311	18	-1.6	-4.8	-1.6	142816	6.9	471	-3
2003	311	19	1.1	-6.8	-0.1	126329	6	451	-4
2003	311	20	3.1	-5.5	0.9	102235	6	444	-4
2003	311	21	4.3	-4	2.9	98010	6	430	-3
2003	311	22	-0.1	-4.3	-0.2	50447	8.2	415	-1
2003	311	23	-1.3	-3.7	-1.5	59512	8	417	-3
2003	312	0	2.8	-4.3	0.8	72001	5.8	424	-5
2003	312	1	3	-4.9	1.3	77361	4.5	431	-3
2003	312	2	2.9	-4.7	1	73714	5.1	432	3
2003	312	3	2.8	-4.1	1.4	84971	5.6	429	5
2003	312	16	3.1	7	8.8	99629	15.3	443	7
2003	312	17	1	12.8	5.3	107525	5	439	4
2003	312	18	2.9	13.3	0.2	112294	5.7	443	5
2003	312	19	1.3	12.8	5.4	92958	4.9	442	-5
2003	312	20	-0.1	9.9	6.4	145915	4.7	444	-5
2003	312	21	-5.9	8.3	0.3	186861	5.7	488	2
2003	312	22	-6.2	7.3	1.4	183840	5.8	481	1
2003	312	23	-7	1.4	1.1	218849	5.9	479	2
2003	313	0	-8.4	-2.5	2.3	163384	5.3	488	2
2003	313	1	-7	4.1	-1.6	153726	5	497	2
2003	313	2	-7.2	2.5	2.1	146322	5	494	5
2003	313	3	-6.2	3.7	2.5	145643	4.8	511	3
2003	313	4	-7.5	2.4	0.6	160458	4.7	511	3
2003	313	5	-7.6	3.1	0.2	146649	4.4	504	-1
2003	313	6	-7.5	4.2	1.2	134125	3.8	507	-3
2003	313	7	-6.3	5.6	1	132614	4.4	524	-7
2003	313	8	-2.9	8.6	2.4	141131	5	553	-11
2003	313	9	-5.2	4.6	0.9	167672	4.9	538	-14
2003	313	10	-3.8	5.8	4.3	184250	5.1	551	-13
2003	313	11	-0.1	5.5	4.6	171076	6.9	571	-5
2003	313	12	-4	5.9	-3	176558	7.1	542	-3
2003	313	13	1.6	3.4	-7.9	149857	6.8	558	-15
2003	313	14	-5.3	4	4	173945	4.2	556	-31
2003	313	15	-5.3	3.6	2.7	230751	5	568	-25
2003	313	16	-6.6	3.6	0.7	222384	5.1	557	-21
2003	313	17	-5.2	-1.4	-2.8	216659	4.8	566	-22
2003	313	18	-3.2	-3.9	-5.8	191235	4.2	582	-26
2003	313	19	-5.1	0.8	-1.5	222132	4.4	565	-33
2003	313	20	-6.2	1	1	201129	4.5	564	-33
2003	313	21	-5.2	1.6	-0.3	193682	4.5	569	-26
2003	313	22	-5.6	2.9	1.4	170820	4.9	563	-24
2003	313	23	-6.4	0.7	0	185436	4.9	556	-25
2003	314	0	-5.4	2.6	0.1	169265	5	561	-23
2003	314	1	-5.6	3	-1.6	167787	5	560	-16
2003	314	2	-3.5	3.7	0.5	160608	5	567	-13
2003	314	3	-5.3	3.5	1.9	169463	5	553	-21
2003	314	4	-2.6	5.5	-0.7	146827	5.5	566	-18
2003	314	5	-5.2	4.7	0.6	135433	5.7	534	-20
2003	314	6	-3.6	2	3.8	142031	7.2	502	-20
2003	314	7	-1.8	4.2	-3.4	130565	8.3	505	-13
2003	314	8	-3.7	2.8	-1.1	158251	9	496	-11
2003	314	9	-6.2	3.4	0	130127	9	476	-13
